otu1,otu2,otu3,otu4,otu5,otu6,otu7,otu8,otu9,otu10,otu11,otu12,otu13,otu14,otu15,otu16,otu17,otu18,otu19,otu20,otu21,otu22,otu23,otu24,otu25,otu26,otu27,otu28,otu29,otu30,otu31,otu32,otu33,otu34,otu35,otu36,otu37,otu38,otu39,otu40,otu41,otu42,otu43,otu44,otu45,otu46,otu47,otu48,otu49,otu50,otu51,otu52,otu53,otu54,otu55,otu56,otu57,otu58,otu59,otu60,otu61,otu62,otu63,otu64,otu65,otu66,otu67,otu68,otu69,otu70,otu71,otu72,otu73,otu74,otu75,otu76,otu77,otu78,otu79,otu80
0,0,0,0,0,0,0,1908,194,4,46,53,0,0,0,318,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,70,0,0,6,20,0,0,20,0,0,0,1,4,142,0,35,0,0,18,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,9,0,1,3,3185,128,31,7,484,0,164,553,61,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4,3,16,0,0,35,67,0,0,20,0,0,0,1,8,1233,0,94,2,0,222,254,16,3,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3906,2,61,275,212,0,75,0,660,0,0,0,0,0,0,0,0,1,0,0,284,0,0,0,0,5,2,154,1,0,224,33,0,0,86,0,0,1,1,6,736,0,512,728,0,121,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,170,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,3952,305,43,81,463,0,0,598,620,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,104,0,0,259,62,0,0,86,0,0,0,3,10,790,0,214,50,0,156,0,0,2,0,0,0,239,0,0,0,0,0,1,0,2,0,0,2,218,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7768,0,52,68,134,0,0,0,581,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,11,54,0,1,278,0,0,0,0,1,609,0,202,22,0,294,0,0,0,0,0,0,64,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2447,263,30,93,338,0,130,0,363,0,6,0,1,0,0,0,0,9,2,0,0,0,0,0,0,2,0,63,0,0,128,10,0,0,117,0,0,0,1,3,317,0,205,20,0,111,0,0,12,0,0,0,98,0,6,0,0,29,2,0,1,0,0,349,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,7700,0,0,0,212,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,96,0,0,130,22,0,0,239,0,0,0,5,4,622,0,6,0,0,33,0,0,0,0,0,0,306,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4229,576,116,89,181,0,0,0,248,0,0,0,0,1,0,0,0,9,91,0,0,0,0,0,0,4,0,295,0,0,191,43,0,0,782,0,0,0,2,21,830,0,226,35,0,220,0,0,0,0,1,0,0,0,3,0,0,0,3,0,32,0,0,29,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,11249,0,15,71,484,0,0,599,393,0,0,1,0,0,0,0,0,2,0,0,114,0,0,0,0,0,0,105,0,0,20,65,0,0,455,0,0,0,4,3,457,0,18,8,0,194,0,0,0,0,0,0,170,0,7,0,0,0,9,3,1,0,0,97,0,0,0,0,0,72,0,0,0
0,0,0,0,0,1,0,1795,0,4,4,57,0,48,9419,16,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,2,0,14,0,0,24,50,0,0,206,0,0,0,0,3,1226,0,35,11,0,23,0,2,0,157,0,0,0,0,1,0,64,0,1,2,0,0,0,0,258,0,0,0,0,0,0,0,0
